tag,AUC-ROC,AU-PR
ipd,0.9922840250936774,0.879185986329327
pb,0.9935776858160037,0.8969369693901237
xgb,0.9962278617995147,0.9472527949299799
cnn,0.9961021428146836,0.9580196548039065
semi,0.9942206955380478,0.9466372486362085
