tag,AUC-ROC,AU-PR
ipd,0.990251822161359,0.9188948894424687
xgb,0.9957550945415522,0.966723296559908
cnn,0.9960577846006663,0.9738420540967389
semi,0.9950413915757259,0.970331492939435
